Feature,Importance
headache,0.020115840373764852
vomiting,0.017458355760945437
cough,0.013008801629515126
sharp_abdominal_pain,0.012835922524359576
fever,0.012818820238080309
nausea,0.01269345492099156
dizziness,0.01236699752493014
back_pain,0.012310469776304305
sharp_chest_pain,0.011493095107588771
shortness_of_breath,0.010631892908346848
weakness,0.00895982232189134
sore_throat,0.008856335978820915
lower_abdominal_pain,0.008496895669484169
leg_pain,0.00844527969211971
burning_abdominal_pain,0.008411455251855032
nasal_congestion,0.008325502705153249
skin_rash,0.007812656140965902
problems_with_movement,0.007810012060177495
depressive_or_psychotic_symptoms,0.007596457124423783
skin_swelling,0.007587917584993909
side_pain,0.007260633824195864
ache_all_over,0.007139688852994881
loss_of_sensation,0.007051365021260629
difficulty_speaking,0.0070388168264144905
abnormal_appearing_skin,0.007037839530761505
chest_tightness,0.007033421324710529
abusing_alcohol,0.006821711059730191
peripheral_edema,0.006754735016774386
lip_swelling,0.006645920717412241
diarrhea,0.006635609940880872
abnormal_involuntary_movements,0.006479760559939954
skin_growth,0.006392807808049207
insomnia,0.006231910365716772
neck_pain,0.006088570940826785
ear_pain,0.006061974553327876
fatigue,0.0060555856541415955
difficulty_breathing,0.006012589697530237
arm_pain,0.006009124252501751
skin_lesion,0.005933748478839099
allergic_reaction,0.005828425672376235
fainting,0.005820265406529287
pelvic_pain,0.005813718109510919
lower_body_pain,0.005711611139797025
depression,0.00568869362914321
difficulty_in_swallowing,0.005600680020260595
facial_pain,0.005544643217284192
decreased_appetite,0.005541888558862796
itching_of_skin,0.005534954552577044
vaginal_itching,0.005525647653095857
involuntary_urination,0.005448908485561296
anxiety_and_nervousness,0.005316698251002258
retention_of_urine,0.005293662058880258
shoulder_pain,0.005242344293361603
joint_pain,0.005152783546888652
knee_pain,0.005132205884457929
disturbance_of_memory,0.0051237096891939395
feeling_ill,0.005010606634246541
blood_in_stool,0.004993155893298745
acne_or_pimples,0.004954016882766109
hip_pain,0.004934398410967872
leg_swelling,0.0048001852793866425
frequent_urination,0.004796881456104605
low_back_pain,0.004777216871109757
symptoms_of_eye,0.004716941221463555
heartburn,0.0046677759875981715
suprapubic_pain,0.00465210100438665
painful_urination,0.00458565848186147
vaginal_discharge,0.004544554685013228
palpitations,0.004513050229479016
pain_in_eye,0.004463963407799534
diminished_vision,0.00440943422928303
hand_or_finger_pain,0.004376121446208165
intermenstrual_bleeding,0.004374815075252987
hand_or_finger_swelling,0.004364046785423662
lack_of_growth,0.00425982931436521
drug_abuse,0.004231120551960663
skin_irritation,0.004182701056728623
bones_are_painful,0.00415225396400622
hoarse_voice,0.004059354852854836
hostile_behavior,0.004038809746135064
fluid_retention,0.004004658843108365
constipation,0.00396242418429029
irregular_appearing_scalp,0.003952033277617204
problems_during_pregnancy,0.003912966792404627
coryza,0.0038755327336701868
delusions_or_hallucinations,0.003869735497926465
foot_or_toe_pain,0.003831975989257329
"skin_dryness,_peeling,_scaliness,_or_roughness",0.0038292216996406647
rectal_bleeding,0.0037982898457483627
elbow_pain,0.0037643063543515445
arm_swelling,0.003732105101950914
swollen_eye,0.003712063285294121
chills,0.0036754976154749364
regurgitation.1,0.0036636396770522613
vaginal_pain,0.0036606037900134497
pain_during_pregnancy,0.003642789363779185
low_self_esteem,0.0035093965615713768
temper_problems,0.00346737455206025
paresthesia,0.003467318940341924
wrist_pain,0.00345995754562381
diminished_hearing,0.003451606158875419
eye_redness,0.003427821725961182
blood_in_urine,0.0034223997902966645
stomach_bloating,0.0034222063739984326
seizures,0.003421733496587809
restlessness,0.0034140889612558466
long_menstrual_periods,0.00340780490797293
weight_gain,0.003382134764467714
spots_or_clouds_in_vision,0.0033759240294359404
excessive_anger,0.003325015867364146
irregular_heartbeat,0.003307084333611123
skin_moles,0.0032597870890501168
white_discharge_from_eye,0.003255802689611032
lymphedema,0.003255474677489153
upper_abdominal_pain,0.0032414010300257632
hot_flashes,0.0032187785008620465
sweating,0.003214024302388624
throat_feels_tight,0.0031100957214441655
foot_or_toe_swelling,0.0030707385792949327
wrist_swelling,0.003070062510784351
pulling_at_ears,0.0030594875267291655
vomiting_blood,0.0030419311565984593
double_vision,0.0030397349204884603
symptoms_of_the_face,0.0029530731286414934
lacrimation,0.0029511624737085713
pain_of_the_anus,0.0029502078879647996
itchiness_of_eye,0.0029474728084885166
swollen_lymph_nodes,0.002935340092692346
coughing_up_sputum,0.0029287577706433345
cramps_and_spasms,0.002921484032701423
sleepiness,0.002897483232282547
groin_mass,0.0028710231541076853
leg_cramps_or_spasms,0.0028436238529535975
foreign_body_sensation_in_eye,0.0028340461161514784
wheezing,0.0028184017390068144
abnormal_breathing_sounds,0.0028142740897195324
hemoptysis,0.0028015198534096573
sinus_congestion,0.002784664516357504
hurts_to_breath,0.002768240942225994
warts,0.0027517615583085905
hand_or_finger_stiffness_or_tightness,0.002744642700531244
changes_in_stool_appearance,0.002698236885159502
jaundice,0.002694503048465694
knee_swelling,0.002669859144983827
fears_and_phobias,0.002667871862529691
groin_pain,0.002646732491651549
irritable_infant,0.002642692938265963
leg_weakness,0.0026165524086035996
obsessions_and_compulsions,0.0026123551645165803
ankle_pain,0.002562143748921519
redness_in_ear,0.002557101786149378
muscle_pain,0.0025440438257185094
regurgitation,0.002540807487374808
abnormal_movement_of_eyelid,0.002507603730742527
plugged_feeling_in_ear,0.0025014509921693386
increased_heart_rate,0.002497338371527451
flu_like_syndrome,0.0024931971082835353
itchy_scalp,0.0024842790953999833
eye_burns_or_stings,0.0024582891411837706
congestion_in_chest,0.002444037800989724
symptoms_of_the_scrotum_and_testes,0.002433912794538462
antisocial_behavior,0.002425062327573272
heavy_menstrual_flow,0.002417803360026659
frontal_headache,0.0024169088107828867
impotence,0.002403070609776856
arm_weakness,0.002369731473190501
pain_during_intercourse,0.002366308712852346
pain_in_testicles,0.0023575600916503144
smoking_problems,0.00232907455789554
neck_swelling,0.002325245996783041
arm_stiffness_or_tightness,0.0023233460475452048
focal_weakness,0.0023174558597407646
nosebleed,0.0023129628779326394
irregular_appearing_nails,0.002301085293481121
painful_sinuses,0.002284910047962653
mouth_ulcer,0.0022614590324037545
hysterical_behavior,0.002250030340379933
decreased_heart_rate,0.0022463011448336286
symptoms_of_bladder,0.0022431479873955664
melena,0.002236229153936218
blood_clots_during_menstrual_periods,0.002230227025043351
blindness,0.0022198856894314963
throat_swelling,0.0021876510602659117
neck_mass,0.002161962486371506
back_cramps_or_spasms,0.002153780624508592
eyelid_swelling,0.0021448268761027982
unusual_color_or_odor_to_urine,0.002099599380806355
elbow_swelling,0.0020900345567713306
unpredictable_menstruation,0.0020863329595729846
sneezing,0.0020794090763296847
symptoms_of_the_kidneys,0.0020769459711809744
fluid_in_ear,0.0020558400572176076
leg_stiffness_or_tightness,0.002049892011321291
pus_draining_from_ear,0.0020375305335654233
slurring_words,0.002036465030003621
uterine_contractions,0.0020237785629640486
rib_pain,0.0020054724358773727
hip_stiffness_or_tightness,0.001996023494667608
stiffness_all_over,0.0019928945823853026
spotting_or_bleeding_during_pregnancy,0.001990648847334119
knee_lump_or_mass,0.001936755113507469
mouth_dryness,0.001936372128867709
breathing_fast,0.001913394135885503
apnea,0.0019095413892305103
ringing_in_ear,0.0018966908959192929
mouth_pain,0.0018902872556666064
too_little_hair,0.0018902689080708681
back_mass_or_lump,0.0018267081664034928
excessive_urination_at_night,0.0018051058042328433
knee_stiffness_or_tightness,0.0017782946656923018
flatulence,0.0017620165417977357
itchy_ear(s),0.0017573069216353784
ankle_swelling,0.0017569782654524304
frequent_menstruation,0.001728857035891197
mass_on_eyelid,0.0017212351357324242
swelling_of_scrotum,0.0016952981302833653
painful_menstruation,0.0016758125902438486
dry_or_flaky_scalp,0.0016730911676760382
infertility,0.0016642625346636076
neck_stiffness_or_tightness,0.001648200978629159
knee_weakness,0.0016355238571303882
infant_feeding_problem,0.0016310815786823912
excessive_appetite,0.0016277765953713864
skin_on_leg_or_foot_looks_infected,0.0016088325643863319
bleeding_from_eye,0.0016043070207580829
hand_or_finger_weakness,0.0016035397039779345
loss_of_sex_drive,0.001600025789520766
